experiment,grid,full_run,graph_family,n,edges,reps,graph_seed,ordering,ordering_role,total_span,max_cutwidth,chi_max,chi_label,svd_cutoff,max_bond_final,max_bond_intermediate,max_entropy,mean_entropy,swap_count,routing_distance,discarded_weight,norm_factor,infidelity,trace_distance_bound,phase_aligned_error,E_unsorted_1,E_sorted_1,topK25_mass,topK25_mass_rel,topK25_exact_mass,topK25_shape,topK100_mass,topK100_mass_rel,topK100_exact_mass,topK100_shape,topK400_mass,topK400_mass_rel,topK400_exact_mass,topK400_shape,topK1000_mass,topK1000_mass_rel,topK1000_exact_mass,topK1000_shape,storage_complex,storage_bytes,statevector_complex,runtime_s,svd_time_s,qiskit_time_s,n_svd,status,quic_params_version,quic_fingerprint,quic_source_kind,mps_revision,mps_sha256,mps_version
quic_readout,full,True,path,8,7,2,-1,natural,natural = graph_informed,7,1,64,64,1e-14,4,4,0.5791722595228556,0.4219246184222768,0,0,0.0,1.0,-4.440892098500626e-16,0.0,1.4428688169425823e-15,1.2065882689683838e-15,1.1113546606426883e-15,2.220446049250313e-16,4.1133177757178797e-16,0.5398187473766936,5.93275428784068e-16,0.0,0.0,0.8717627629020585,9.588684013461801e-16,,,,,,,,,168,2688,256,0.005807708999782335,0.0007136030008041416,0.007960787000229175,14,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,8,7,2,-1,natural,natural = graph_informed,7,1,-1,untruncated,1e-14,4,4,0.5791722595228556,0.4219246184222768,0,0,0.0,1.0,-4.440892098500626e-16,0.0,1.4428688169425823e-15,1.2065882689683838e-15,1.1113546606426883e-15,2.220446049250313e-16,4.1133177757178797e-16,0.5398187473766936,5.93275428784068e-16,0.0,0.0,0.8717627629020585,9.588684013461801e-16,,,,,,,,,168,2688,256,0.007027315999948769,0.0008331349981745007,0.007960787000229175,14,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,1,-1,natural,natural = graph_informed,14,2,4,4,1e-14,4,4,0.16902985813442292,0.15978022563634514,12,6,6.343220861097923e-33,1.0,0.0,0.0,3.864926218169613e-15,1.4521431203774054e-15,1.3054370139129606e-15,1.1102230246251565e-16,1.4619243597911687e-16,0.7594257645339109,1.0286910212542466e-15,2.220446049250313e-16,2.329877312499972e-16,0.9530313194336235,1.1857919160473962e-15,,,,,,,,,168,2688,256,0.007776161000037973,0.001110162002078141,0.005526900999939244,20,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,1,-1,natural,natural = graph_informed,14,2,8,8,1e-14,4,4,0.16902985813442292,0.15978022563634514,12,6,6.343220861097923e-33,1.0,0.0,0.0,3.864926218169613e-15,1.4521431203774054e-15,1.3054370139129606e-15,1.1102230246251565e-16,1.4619243597911687e-16,0.7594257645339109,1.0286910212542466e-15,2.220446049250313e-16,2.329877312499972e-16,0.9530313194336235,1.1857919160473962e-15,,,,,,,,,168,2688,256,0.005834148999383615,0.0008552690005672048,0.005526900999939244,20,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,1,-1,natural,natural = graph_informed,14,2,16,16,1e-14,4,4,0.16902985813442292,0.15978022563634514,12,6,6.343220861097923e-33,1.0,0.0,0.0,3.864926218169613e-15,1.4521431203774054e-15,1.3054370139129606e-15,1.1102230246251565e-16,1.4619243597911687e-16,0.7594257645339109,1.0286910212542466e-15,2.220446049250313e-16,2.329877312499972e-16,0.9530313194336235,1.1857919160473962e-15,,,,,,,,,168,2688,256,0.005706474999897182,0.0008625440004834672,0.005526900999939244,20,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,1,-1,natural,natural = graph_informed,14,2,32,32,1e-14,4,4,0.16902985813442292,0.15978022563634514,12,6,6.343220861097923e-33,1.0,0.0,0.0,3.864926218169613e-15,1.4521431203774054e-15,1.3054370139129606e-15,1.1102230246251565e-16,1.4619243597911687e-16,0.7594257645339109,1.0286910212542466e-15,2.220446049250313e-16,2.329877312499972e-16,0.9530313194336235,1.1857919160473962e-15,,,,,,,,,168,2688,256,0.005788712999674317,0.0009259570006179274,0.005526900999939244,20,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,1,-1,natural,natural = graph_informed,14,2,64,64,1e-14,4,4,0.16902985813442292,0.15978022563634514,12,6,6.343220861097923e-33,1.0,0.0,0.0,3.864926218169613e-15,1.4521431203774054e-15,1.3054370139129606e-15,1.1102230246251565e-16,1.4619243597911687e-16,0.7594257645339109,1.0286910212542466e-15,2.220446049250313e-16,2.329877312499972e-16,0.9530313194336235,1.1857919160473962e-15,,,,,,,,,168,2688,256,0.005483310000272468,0.0008004360015547718,0.005526900999939244,20,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,1,-1,natural,natural = graph_informed,14,2,-1,untruncated,1e-14,4,4,0.16902985813442292,0.15978022563634514,12,6,6.343220861097923e-33,1.0,0.0,0.0,3.864926218169613e-15,1.4521431203774054e-15,1.3054370139129606e-15,1.1102230246251565e-16,1.4619243597911687e-16,0.7594257645339109,1.0286910212542466e-15,2.220446049250313e-16,2.329877312499972e-16,0.9530313194336235,1.1857919160473962e-15,,,,,,,,,168,2688,256,0.006018242000209284,0.0009120440008700825,0.005526900999939244,20,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,2,-1,natural,natural = graph_informed,14,2,4,4,1e-14,4,4,0.618892524075837,0.5530253933779592,24,12,0.0058758988566936935,0.9970650619001852,0.004934127613733796,0.07024334569006374,0.07028676318890661,0.0786469324957822,0.06152119762262514,0.006558369250817486,0.019092543059013412,0.34350422730728586,0.04074981301068309,0.011997762678308765,0.016457584351035837,0.729011161200801,0.04875354181585674,,,,,,,,,168,2688,256,0.013435292000394838,0.002144540998415323,0.011141672000121616,40,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,2,-1,natural,natural = graph_informed,14,2,8,8,1e-14,8,8,0.6502205929413665,0.5740145259459281,24,12,9.896140487513825e-05,0.9999505180733319,9.896140487486438e-05,0.009947934703990793,0.009948057767032021,0.009317736084607845,0.0083988694643558,0.00042428811756495266,0.0012351758256104388,0.34350422730728586,0.00427969448611603,0.0012299914560458536,0.0016872052466519933,0.729011161200801,0.006373767086242165,,,,,,,,,424,6784,256,0.014680558000691235,0.002570553996520175,0.011141672000121616,40,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
